,Nom,Type,Exposition,Rusticité,Profondeur,Espacement,Temps_levée,Temperature,delai_recolte,image,Zone climatique idéale,Sol requis
43,Cornichon,Légumes,Soleil,Non résistant au gel,2.0,60.0,8.0,15.0,90.0,https://img.permapotes.com/cover-square/209241d67a72c1fc796a33dc45194095.jpg,"H2, H3","Limoneux, Sableux"
44,Courge,Légumes,Soleil,Non résistant au gel,2.0,120.0,8.0,15.0,150.0,https://img.permapotes.com/cover-square/8a30b5490ac56155f086b1fa61525f20.jpg,"H2, H3","Limoneux, Sableux"
45,Courgette verte,Légumes,Soleil,Non résistant au gel,2.0,100.0,8.0,15.0,70.0,https://img.permapotes.com/cover-square/1306a9ee5eb6dce617f1c894af3c0da4.JPG,"H2, H3","Limoneux, Sableux"
46,Cresson alénois,Légumes,Mi-ombre,Résistant au gel,0.5,15.0,4.0,15.0,80.0,https://img.permapotes.com/cover-square/b593f147bb678f8ce740933df5035491.jpeg,H1,Argileux
47,Céleri branche,Légumes,Soleil,Résistant au gel,0.5,30.0,18.0,15.0,210.0,https://img.permapotes.com/cover-square/c5466b06a271be47fc2d515a4303e599.jpg,"H1, H2",Limoneux
48,Céleri rave,Légumes,Soleil,Résistant au gel,0.5,30.0,18.0,15.0,210.0,https://img.permapotes.com/cover-square/25a003dac7bdeb958ee48043a1e32fdb.jpg,"H1, H2","Limoneux, Argileux"
49,Echalote,Légumes,Soleil,Résistant au gel,1.0,10.0,,,180.0,https://img.permapotes.com/cover-square/0dea85d51eb351837ee3f2f99ab13a52.jpg,"H1, H2","Limoneux, Sableux"
50,Endive,Légumes,Soleil,Résistant au gel,1.0,30.0,10.0,18.0,180.0,https://img.permapotes.com/cover-square/b789a0bf4336181ae6aef660d37f43e7.jpg,"H1, H2",Argileux
51,Epinard,Légumes,Mi-ombre,Résistant au gel,1.0,10.0,10.0,10.0,60.0,https://img.permapotes.com/cover-square/fd57bb4047580be2863233a40085ab8c.jpg,"H1, H2","Limoneux, Argileux"
52,Fenouil,Légumes,Soleil,Résistant au gel,1.0,15.0,10.0,15.0,90.0,https://img.permapotes.com/cover-square/4426258e97bd182f36fd2675ee6531c4.jpg,"H2, H3","Limoneux, Sableux"
53,Fève,Légumes,Soleil,Résistant au gel,3.0,10.0,10.0,15.0,80.0,https://img.permapotes.com/cover-square/cb58553b7158a84da8fc8d363601f525.JPG,"H1, H2","Limoneux, Argileux"
54,Haricots beurre,Légumes,Soleil,Non résistant au gel,3.0,5.0,8.0,15.0,90.0,https://img.permapotes.com/cover-square/df5b980f0311cd7b15d49fba95aaacfc.jpg,"H2, H3","Limoneux, Sableux"
55,Haricots blancs,Légumes,Soleil,Non résistant au gel,3.0,10.0,8.0,15.0,120.0,https://img.permapotes.com/cover-square/b37ae2f7b9187851077d8801d4864abb.jpeg,,
56,Haricots rouges,Légumes,Soleil,Non résistant au gel,3.0,10.0,8.0,15.0,90.0,https://img.permapotes.com/cover-square/17c6c0f9be30c0f2c8384bac3d8a1be3.jpg,"H2, H3","Limoneux, Sableux"
57,Haricots verts,Légumes,Soleil,Non résistant au gel,3.0,5.0,8.0,15.0,90.0,https://img.permapotes.com/cover-square/d261d8de19087b226f9d988177346da8.jpeg,"H2, H3","Limoneux, Sableux"
58,Laitue,Légumes,Soleil,Résistant au gel,0.5,25.0,10.0,12.0,75.0,https://img.permapotes.com/cover-square/3bae90e1bee5a6dae79fb9896b5bceea.jpeg,"H1, H2",Limoneux
59,Lentille,Légumes,Soleil,Résistant au gel,1.0,4.0,15.0,8.0,100.0,https://img.permapotes.com/cover-square/b10d598b25ee0fcf1a6f1986d0471ba1.jpg,H2,Sableux
60,Mache,Légumes,Mi-ombre,Résistant au gel,0.5,8.0,10.0,18.0,90.0,https://img.permapotes.com/cover-square/6636a199866c3a1ad915cf5ba4917cb2.jpg,,
61,Maïs,Légumes,Soleil,Non résistant au gel,2.0,15.0,8.0,18.0,120.0,https://img.permapotes.com/cover-square/689fdde2033cce901adcd05db7c87bfa.jpg,"H2, H3",Sableux
62,Navet,Légumes,Soleil,Résistant au gel,0.5,10.0,6.0,15.0,90.0,https://img.permapotes.com/cover-square/94467ee770ba1b5d2525e644775b6fb8.jpeg,"H1, H2","Limoneux, Argileux"
63,Panais,Légumes,Soleil,Résistant au gel,1.0,10.0,28.0,18.0,180.0,https://img.permapotes.com/cover-square/2782291f2e20b1a317a8b74d3a096502.jpg,"H1, H2","Limoneux, Argileux"
64,Petit pois,Légumes,Soleil,Non résistant au gel,2.0,4.0,20.0,12.0,120.0,https://img.permapotes.com/cover-square/62da3bb22493aabbd096c46c1fdf0c4d.jpg,"H1, H2",Limoneux
65,Physalis,Légumes,Soleil,Non résistant au gel,1.0,60.0,,,150.0,https://img.permapotes.com/cover-square/d2d42cb99342991039c4ea8009446417.jpg,"H2, H3","Limoneux, Sableux"
66,Piment,Légumes,Soleil,Non résistant au gel,0.5,50.0,15.0,15.0,150.0,https://img.permapotes.com/cover-square/aa9aaacf4426f392a65fe9d476301693.jpg,H3,"Limoneux, Sableux"
67,Poireau d'hiver,Légumes,Soleil,Résistant au gel,1.0,10.0,15.0,12.0,180.0,https://img.permapotes.com/cover-square/bfe597e23354868bfee05264b1806ef4.jpg,"H1, H2","Limoneux, Argileux"
68,Poireau d'été,Légumes,Soleil,Résistant au gel,1.0,10.0,15.0,12.0,180.0,https://img.permapotes.com/cover-square/d1c6b3769e05886410d09ee1262c5f59.jpg,"H1, H2",Limoneux
69,Pois mangetout,Légumes,Soleil,Non résistant au gel,2.0,4.0,20.0,12.0,120.0,https://img.permapotes.com/cover-square/84c4065b0cc2dbdee03b72c9bc89fdcb.jpg,"H1, H2",Limoneux
70,Poivron,Légumes,Soleil,Non résistant au gel,0.5,50.0,15.0,15.0,150.0,https://img.permapotes.com/cover-square/48eeb49a4a89203c21846d7a25be022d.jpg,H3,"Limoneux, Sableux"
71,Potimarron,Légumes,Soleil,Non résistant au gel,2.0,120.0,8.0,15.0,150.0,https://img.permapotes.com/cover-square/47f55718d89e8ca410ef767a498ccd3c.jpg,"H2, H3","Limoneux, Sableux"
72,Potiron,Légumes,Soleil,Non résistant au gel,2.0,120.0,8.0,15.0,150.0,https://img.permapotes.com/cover-square/370973fe545b373c09762f20ccb3db4c.jpg,"H2, H3","Limoneux, Sableux"
73,Radis noir,Légumes,Soleil,Non résistant au gel,0.5,8.0,5.0,8.0,150.0,https://img.permapotes.com/cover-square/b45d630908be4f5b465893aadff971ac.jpg,"H1, H2",Limoneux
74,Radis rouge,Légumes,Mi-ombre,Résistant au gel,0.5,8.0,5.0,8.0,40.0,https://img.permapotes.com/cover-square/58676540ff0c998ef2b59bcb4a106293.jpg,"H1, H2",Sableux
75,Salsifi,Légumes,Soleil,Résistant au gel,1.0,10.0,15.0,15.0,150.0,https://img.permapotes.com/cover-square/8b1faa8edc95d0acc4d8d9f7bc98c688.jpg,"H1, H2",Argileux
76,Tomate,Légumes,Soleil,Non résistant au gel,1.0,60.0,8.0,15.0,120.0,https://img.permapotes.com/cover-square/86d2686f68972480ed7183139ae91723.jpg,"H2, H3","Limoneux, Sableux"
77,Tomates cerises,Légumes,Soleil,Non résistant au gel,1.0,60.0,8.0,15.0,100.0,https://img.permapotes.com/cover-square/38c37045978710b5e77d6c9f62ed86c2.jpg,"H2, H3","Limoneux, Sableux"
78,Topinambour,Légumes,Soleil,Résistant au gel,8.0,40.0,,,210.0,https://img.permapotes.com/cover-square/d292b5845ed3fabf77dc49397e7ddbf5.jpg,"H1, H2",Argileux
79,Ail des ours,Légumes perpétuels,Ombre,,,15.0,,,,https://img.permapotes.com/cover-square/c46ef2ef30c9c60c3254bfa6fa5d8f55.jpg,H1,Argileux
80,Artichaut,Légumes perpétuels,Soleil,Résistant au gel,4.0,80.0,20.0,15.0,120.0,https://img.permapotes.com/cover-square/f69fa98b10999ed66e9ee6f8a15075c7.jpg,"H2, H3","Limoneux, Argileux"
81,Cardon,Légumes perpétuels,Soleil,Résistant au gel,,,,,,https://img.permapotes.com/cover-square/c654025d2beed2ca63229f8cb2673fdd.jpg,H2,"Limoneux, Argileux"
82,Poireau perpétuel,Légumes perpétuels,Soleil,Résistant au gel,,15.0,,,,https://img.permapotes.com/cover-square/a9609a4157fe18de89673ca2d3aa6319.jpg,"H1, H2",Limoneux
83,Rhubarbe,Légumes perpétuels,Mi-ombre,Résistant au gel,,100.0,,,,https://img.permapotes.com/cover-square/3be940334ab4ff0f3bcffbb5bd2e3c57.jpeg,"H1, H2","Limoneux, Argileux"
